cc_card_last4,bank_txn_id,bank_date,bank_amount,current_allocated_to_wave,fifo_allocated_to_wave,delta_allocated,current_coverage_pct,fifo_coverage_pct
8154,971,2024-10-07,275.41,0.00,0.00,0.00,0.0,0.0
8154,951,2024-10-11,49.55,0.00,0.00,0.00,0.0,0.0
8154,945,2024-10-15,130.41,0.00,0.00,0.00,0.0,0.0
8154,920,2024-10-21,1869.09,0.00,0.00,0.00,0.0,0.0
8154,921,2024-10-21,322.88,0.00,0.00,0.00,0.0,0.0
8154,924,2024-10-21,294.71,0.00,0.00,0.00,0.0,0.0
8154,918,2024-10-22,236.91,0.00,0.00,0.00,0.0,0.0
8154,906,2024-10-24,1472.83,0.00,0.00,0.00,0.0,0.0
8154,887,2024-10-28,479.32,0.00,0.00,0.00,0.0,0.0
8154,891,2024-10-28,78.30,0.00,0.00,0.00,0.0,0.0
8154,892,2024-10-28,22.00,0.00,0.00,0.00,0.0,0.0
8154,872,2024-11-04,32.23,0.00,0.00,0.00,0.0,0.0
8154,874,2024-11-04,1672.89,0.00,0.00,0.00,0.0,0.0
8154,839,2024-11-12,550.87,0.00,0.00,0.00,0.0,0.0
8154,842,2024-11-12,62.03,0.00,0.00,0.00,0.0,0.0
8154,844,2024-11-12,106.26,0.00,0.00,0.00,0.0,0.0
8154,846,2024-11-12,279.08,0.00,0.00,0.00,0.0,0.0
8154,821,2024-11-18,1090.96,0.00,0.00,0.00,0.0,0.0
8154,822,2024-11-18,251.76,0.00,0.00,0.00,0.0,0.0
8154,824,2024-11-18,1787.76,0.00,0.00,0.00,0.0,0.0
8154,771,2024-12-03,258.12,0.00,243.12,243.12,0.0,94.2
8154,773,2024-12-03,16.78,0.00,0.00,0.00,0.0,0.0
8154,774,2024-12-03,62.88,0.00,24.76,24.76,0.0,39.4
8154,775,2024-12-03,368.59,368.59,368.59,0.00,100.0,100.0
8154,778,2024-12-03,400.00,0.00,0.00,0.00,0.0,0.0
8154,780,2024-12-03,24.66,24.66,0.00,-24.66,100.0,0.0
8154,783,2024-12-03,218.46,218.46,0.00,-218.46,100.0,0.0
8154,784,2024-12-03,24.76,24.76,0.00,-24.76,100.0,0.0
8154,753,2024-12-09,279.81,0.00,135.79,135.79,0.0,48.5
8154,754,2024-12-09,37.77,0.00,0.00,0.00,0.0,0.0
8154,756,2024-12-09,283.48,0.00,0.00,0.00,0.0,0.0
8154,744,2024-12-11,118.97,0.00,0.00,0.00,0.0,0.0
8154,745,2024-12-11,75.79,75.79,0.00,-75.79,100.0,0.0
8154,726,2024-12-16,83.35,0.00,0.00,0.00,0.0,0.0
8154,729,2024-12-16,30.51,0.00,0.00,0.00,0.0,0.0
