cc_card_last4,bank_txn_id,bank_date,bank_amount,prev_payment_date,period_wave_matched_purchases,allocated_to_wave_any,allocated_cc_alloc_v1,allocated_manual_split_v1,period_minus_allocated,bank_minus_allocated,bank_description
0318,1137,2024-04-22,94.92,2024-04-22,0.00,94.92,94.92,0.00,-94.92,0.00,Internet Banking INTERNET TRANSFER000000105583 4500*********318
0318,1127,2024-04-23,222.59,2024-04-22,41.37,0.00,0.00,0.00,41.37,222.59,Internet Banking INTERNET TRANSFER000000202558 4500*********318
0318,1124,2024-04-30,128.18,2024-04-23,222.59,0.00,0.00,0.00,222.59,128.18,Internet Banking INTERNET TRANSFER000000134240 4500*********318
0318,1118,2024-05-06,209.89,2024-04-30,293.07,209.89,209.89,0.00,83.18,0.00,Internet Banking INTERNET TRANSFER000000101966 4500*********318
0318,1119,2024-05-06,63.28,2024-05-06,0.00,63.28,63.28,0.00,-63.28,0.00,Internet Banking INTERNET TRANSFER000000127051 4500*********318
0318,1120,2024-05-06,19.90,2024-05-06,0.00,19.90,19.90,0.00,-19.90,0.00,Internet Banking INTERNET TRANSFER000000132766 4500*********318
0318,1115,2024-05-07,20.08,2024-05-06,0.00,20.08,20.08,0.00,-20.08,0.00,Internet Banking INTERNET TRANSFER000000208749 4500*********318
0318,1102,2024-05-21,87.27,2024-05-07,91.19,0.00,0.00,0.00,91.19,87.27,Internet Banking INTERNET TRANSFER000000115305 4500*********318
0318,1103,2024-05-21,65.14,2024-05-21,0.00,0.00,0.00,0.00,0.00,65.14,Internet Banking INTERNET TRANSFER000000112922 4500*********318
0318,1104,2024-05-21,71.11,2024-05-21,0.00,71.11,71.11,0.00,-71.11,0.00,Internet Banking INTERNET TRANSFER000000121694 4500*********318
0318,1097,2024-05-27,29.64,2024-05-21,29.64,29.64,29.64,0.00,0.00,0.00,Internet Banking INTERNET TRANSFER000000138055 4500*********318
0318,1096,2024-05-28,288.65,2024-05-27,0.00,0.00,0.00,0.00,0.00,288.65,Internet Banking INTERNET TRANSFER000000212236 4500*********318
0318,1093,2024-05-31,34.81,2024-05-28,0.00,34.81,34.81,0.00,-34.81,0.00,Internet Banking INTERNET TRANSFER000000103886 4500*********318
0318,1094,2024-05-31,213.52,2024-05-31,0.00,213.52,213.52,0.00,-213.52,0.00,Internet Banking INTERNET TRANSFER000000136681 4500*********318
0318,1079,2024-07-12,29.78,2024-05-31,278.11,29.78,29.78,0.00,248.33,0.00,Internet Banking INTERNET TRANSFER000000229611 4500*********318
0318,1072,2024-08-08,135.55,2024-07-12,149.56,135.55,135.55,0.00,14.01,0.00,Internet Banking INTERNET TRANSFER000000237967 4500*********318
0318,1073,2024-08-08,14.01,2024-08-08,0.00,14.01,14.01,0.00,-14.01,0.00,Internet Banking INTERNET TRANSFER000000229242 4500*********318
0318,1066,2024-08-19,101.78,2024-08-08,0.00,0.00,0.00,0.00,0.00,101.78,Internet Banking INTERNET TRANSFER000000106669 4500*********318
0318,1067,2024-08-19,237.89,2024-08-19,0.00,0.00,0.00,0.00,0.00,237.89,Internet Banking INTERNET TRANSFER000000120577 4500*********318
