wave_bill_id,entry_date,bill_total,bill_total_cents,settlement_amount,settlement_amount_cents,match_type,bank_txn_id,cc_txn_id,shareholder_code,shareholder_basis,journal_entry_id
260,2024-03-15,45.95,4595,45.95,4595,CC_PURCHASE,,3797,2410,cc_purchase_assumed_dwayne,WAVE_BILL_CC_SETTLE_260
261,2024-03-18,133.28,13328,133.28,13328,CC_PURCHASE,,1190,2410,cc_purchase_assumed_dwayne,WAVE_BILL_CC_SETTLE_261
262,2024-03-18,182.39,18239,182.39,18239,CC_PURCHASE,,1189,2410,cc_purchase_assumed_dwayne,WAVE_BILL_CC_SETTLE_262
264,2024-03-18,43.83,4383,43.83,4383,CC_PURCHASE,,1188,2410,cc_purchase_assumed_dwayne,WAVE_BILL_CC_SETTLE_264
265,2024-03-18,227.43,22743,227.43,22743,CC_PURCHASE,,1187,2410,cc_purchase_assumed_dwayne,WAVE_BILL_CC_SETTLE_265
267,2024-03-21,54.21,5421,54.21,5421,CC_PURCHASE,,1179,2410,cc_purchase_assumed_dwayne,WAVE_BILL_CC_SETTLE_267
268,2024-03-22,1325.74,132574,1325.74,132574,CC_PURCHASE,,3782,2410,cc_purchase_assumed_dwayne,WAVE_BILL_CC_SETTLE_268
270,2024-03-25,41.18,4118,41.18,4118,CC_PURCHASE,,1174,2410,cc_purchase_assumed_dwayne,WAVE_BILL_CC_SETTLE_270
271,2024-03-25,236.56,23656,236.56,23656,CC_PURCHASE,,1170,2410,cc_purchase_assumed_dwayne,WAVE_BILL_CC_SETTLE_271
272,2024-03-11,143.62,14362,143.62,14362,CC_PAYMENT_TRANSFER,1236,,2410,cc_payment_links,WAVE_BILL_CC_SETTLE_272
279,2024-04-04,1251.73,125173,1251.73,125173,CC_PURCHASE,,3761,2410,cc_purchase_assumed_dwayne,WAVE_BILL_CC_SETTLE_279
280,2024-04-04,811.89,81189,811.89,81189,CC_PURCHASE,1174,3762,2410,cc_purchase_assumed_dwayne,WAVE_BILL_CC_SETTLE_280
282,2024-04-08,107.35,10735,107.35,10735,CC_PURCHASE,,3756,2410,cc_purchase_assumed_dwayne,WAVE_BILL_CC_SETTLE_282
283,2024-04-05,19.95,1995,19.95,1995,CC_PURCHASE,,3757,2410,cc_purchase_assumed_dwayne,WAVE_BILL_CC_SETTLE_283
285,2024-04-08,203.78,20378,203.78,20378,CC_PURCHASE,,3755,2410,cc_purchase_assumed_dwayne,WAVE_BILL_CC_SETTLE_285
287,2024-04-09,14.46,1446,14.46,1446,CC_PURCHASE,,3751,2410,cc_purchase_assumed_dwayne,WAVE_BILL_CC_SETTLE_287
288,2024-04-09,168.62,16862,168.62,16862,CC_PURCHASE,,3749,2410,cc_purchase_assumed_dwayne,WAVE_BILL_CC_SETTLE_288
289,2024-04-11,667.47,66747,667.47,66747,CC_PURCHASE,,3742,2410,cc_purchase_assumed_dwayne,WAVE_BILL_CC_SETTLE_289
290,2024-04-11,27.43,2743,27.43,2743,CC_PURCHASE,,3744,2410,cc_purchase_assumed_dwayne,WAVE_BILL_CC_SETTLE_290
292,2024-04-15,94.92,9492,94.92,9492,CC_PURCHASE,,1143,2410,cc_purchase_assumed_dwayne,WAVE_BILL_CC_SETTLE_292
293,2024-04-15,35.15,3515,35.15,3515,CC_PURCHASE,,1144,2410,cc_purchase_assumed_dwayne,WAVE_BILL_CC_SETTLE_293
294,2024-04-15,152.60,15260,152.60,15260,CC_PURCHASE,,1140,2410,cc_purchase_assumed_dwayne,WAVE_BILL_CC_SETTLE_294
295,2024-04-15,29.88,2988,29.88,2988,CC_PURCHASE,,1141,2410,cc_purchase_assumed_dwayne,WAVE_BILL_CC_SETTLE_295
298,2024-04-22,65.49,6549,65.49,6549,CC_PURCHASE,,1124,2410,cc_purchase_assumed_dwayne,WAVE_BILL_CC_SETTLE_298
299,2024-04-22,28.92,2892,28.92,2892,CC_PURCHASE,,1125,2410,cc_purchase_assumed_dwayne,WAVE_BILL_CC_SETTLE_299
300,2024-04-23,41.37,4137,41.37,4137,CC_PURCHASE,,1123,2410,cc_purchase_assumed_dwayne,WAVE_BILL_CC_SETTLE_300
302,2024-04-25,222.59,22259,222.59,22259,CC_PURCHASE,,1114,2410,cc_purchase_assumed_dwayne,WAVE_BILL_CC_SETTLE_302
303,2024-04-16,231.21,23121,231.21,23121,CC_PAYMENT_TRANSFER,1147,,2410,cc_payment_links,WAVE_BILL_CC_SETTLE_303
306,2024-05-06,63.28,6328,63.28,6328,CC_PURCHASE,,1095,2410,cc_purchase_assumed_dwayne,WAVE_BILL_CC_SETTLE_306
307,2024-05-06,209.89,20989,209.89,20989,CC_PURCHASE,,1094,2410,cc_purchase_assumed_dwayne,WAVE_BILL_CC_SETTLE_307
308,2024-05-06,19.90,1990,19.90,1990,CC_PURCHASE,,1093,2410,cc_purchase_assumed_dwayne,WAVE_BILL_CC_SETTLE_308
309,2024-05-08,20.08,2008,20.08,2008,CC_PURCHASE,,1086,2410,cc_purchase_assumed_dwayne,WAVE_BILL_CC_SETTLE_309
