bank_txn_id,bank_date,bank_debit_cents,bank_debit,evidence_category,category,allocation_scaled,raw_allocated_to_bills_cents,raw_allocated_to_bills,shareholder_account,matched_wave_bill_ids,match_methods,allocated_to_bills_cents,allocated_to_bills,remainder_cents,remainder,remainder_account,journal_entry_id
566,2025-02-12,8550,85.50,REIMBURSEMENT,REIMBURSEMENT,0,8550,85.50,2400,593,WAVE_MATCHES,8550,85.50,0,0.00,,WAVE_BILL_REIMBURSE_566
571,2025-02-10,8011,80.11,REIMBURSEMENT,REIMBURSEMENT,0,8011,80.11,2400,505,WAVE_MATCHES,8011,80.11,0,0.00,,WAVE_BILL_REIMBURSE_571
572,2025-02-10,3889,38.89,REIMBURSEMENT,REIMBURSEMENT,0,3889,38.89,2400,504,WAVE_MATCHES,3889,38.89,0,0.00,,WAVE_BILL_REIMBURSE_572
573,2025-02-10,4296,42.96,REIMBURSEMENT,REIMBURSEMENT,0,4296,42.96,2400,503,WAVE_MATCHES,4296,42.96,0,0.00,,WAVE_BILL_REIMBURSE_573
574,2025-02-10,23446,234.46,REIMBURSEMENT,REIMBURSEMENT,0,23446,234.46,2400,537,WAVE_MATCHES,23446,234.46,0,0.00,,WAVE_BILL_REIMBURSE_574
575,2025-02-10,7748,77.48,REIMBURSEMENT,REIMBURSEMENT,0,7365,73.65,2400,612,WAVE_MATCHES,7365,73.65,383,3.83,9100,WAVE_BILL_REIMBURSE_575
604,2025-01-27,11811,118.11,REIMBURSEMENT,REIMBURSEMENT,0,11811,118.11,2400,576,WAVE_MATCHES,11811,118.11,0,0.00,,WAVE_BILL_REIMBURSE_604
607,2025-01-27,6959,69.59,REIMBURSEMENT,REIMBURSEMENT,0,6959,69.59,2400,583,WAVE_MATCHES,6959,69.59,0,0.00,,WAVE_BILL_REIMBURSE_607
611,2025-01-27,16601,166.01,REIMBURSEMENT,REIMBURSEMENT,0,16601,166.01,2410,575,SPLIT_PAYMENTS,16601,166.01,0,0.00,,WAVE_BILL_REIMBURSE_611
651,2025-01-16,12940,129.40,REIMBURSEMENT,REIMBURSEMENT,0,12939,129.39,2400,557,WAVE_MATCHES,12939,129.39,1,0.01,9100,WAVE_BILL_REIMBURSE_651
668,2025-01-09,7748,77.48,REIMBURSEMENT,REIMBURSEMENT,0,7748,77.48,2400,530,WAVE_MATCHES,7748,77.48,0,0.00,,WAVE_BILL_REIMBURSE_668
682,2025-01-08,4944,49.44,REIMBURSEMENT,REIMBURSEMENT,0,4944,49.44,2400,554,WAVE_MATCHES,4944,49.44,0,0.00,,WAVE_BILL_REIMBURSE_682
683,2025-01-08,18285,182.85,REIMBURSEMENT,REIMBURSEMENT,0,18285,182.85,2410,525,WAVE_MATCHES,18285,182.85,0,0.00,,WAVE_BILL_REIMBURSE_683
684,2025-01-08,7152,71.52,REIMBURSEMENT,REIMBURSEMENT,0,7152,71.52,2410,555,WAVE_MATCHES,7152,71.52,0,0.00,,WAVE_BILL_REIMBURSE_684
700,2024-12-31,33091,330.91,REIMBURSEMENT,REIMBURSEMENT,0,33091,330.91,2400,536,WAVE_MATCHES,33091,330.91,0,0.00,,WAVE_BILL_REIMBURSE_700
712,2024-12-20,40000,400.00,REIMBURSEMENT,REIMBURSEMENT,0,40000,400.00,2400,779,WAVE_BILL_FUNDING,40000,400.00,0,0.00,,WAVE_BILL_REIMBURSE_712
716,2024-12-20,40000,400.00,REIMBURSEMENT,REIMBURSEMENT,0,40000,400.00,2410,512,SPLIT_PAYMENTS,40000,400.00,0,0.00,,WAVE_BILL_REIMBURSE_716
717,2024-12-20,23000,230.00,REIMBURSEMENT,REIMBURSEMENT,0,23000,230.00,2410,743,WAVE_BILL_FUNDING,23000,230.00,0,0.00,,WAVE_BILL_REIMBURSE_717
725,2024-12-16,6209,62.09,REIMBURSEMENT,REIMBURSEMENT,0,6209,62.09,2400,526,WAVE_MATCHES,6209,62.09,0,0.00,,WAVE_BILL_REIMBURSE_725
727,2024-12-16,2125,21.25,REIMBURSEMENT,REIMBURSEMENT,0,2124,21.24,2400,531,WAVE_MATCHES,2124,21.24,1,0.01,9100,WAVE_BILL_REIMBURSE_727
728,2024-12-16,6000,60.00,REIMBURSEMENT,REIMBURSEMENT,0,6000,60.00,2400,534,WAVE_MATCHES,6000,60.00,0,0.00,,WAVE_BILL_REIMBURSE_728
730,2024-12-16,4365,43.65,REIMBURSEMENT,REIMBURSEMENT,0,4365,43.65,2400,528,WAVE_MATCHES,4365,43.65,0,0.00,,WAVE_BILL_REIMBURSE_730
742,2024-12-11,1262,12.62,REIMBURSEMENT,REIMBURSEMENT,0,1262,12.62,2400,487,WAVE_MATCHES,1262,12.62,0,0.00,,WAVE_BILL_REIMBURSE_742
743,2024-12-11,1608,16.08,REIMBURSEMENT,REIMBURSEMENT,0,1608,16.08,2400,516,WAVE_MATCHES,1608,16.08,0,0.00,,WAVE_BILL_REIMBURSE_743
755,2024-12-09,12034,120.34,REIMBURSEMENT,REIMBURSEMENT,0,12034,120.34,2400,513,WAVE_MATCHES,12034,120.34,0,0.00,,WAVE_BILL_REIMBURSE_755
