id,bank_txn_id,target_type,target_id,amount_cents,notes,created_at
121,475,WAVE_BILL,641,4495,CC_ALLOC_V1 method=PAYMENT_SINGLE_EXACT_V1 cc_payment_txn_id=487 cc_purchase_txn_id=516,2026-01-21 17:59:31
122,469,WAVE_BILL,644,2760,CC_ALLOC_V1 method=PAYMENT_SINGLE_EXACT_V1 cc_payment_txn_id=493 cc_purchase_txn_id=512,2026-01-21 17:59:31
123,472,WAVE_BILL,642,30531,CC_ALLOC_V1 method=PAYMENT_SINGLE_EXACT_V1 cc_payment_txn_id=494 cc_purchase_txn_id=513,2026-01-21 17:59:31
124,471,WAVE_BILL,643,6617,CC_ALLOC_V1 method=PAYMENT_SINGLE_EXACT_V1 cc_payment_txn_id=495 cc_purchase_txn_id=515,2026-01-21 17:59:31
125,442,WAVE_BILL,657,12068,CC_ALLOC_V1 method=PAYMENT_SINGLE_EXACT_V1 cc_payment_txn_id=464 cc_purchase_txn_id=482,2026-01-21 17:59:31
126,449,WAVE_BILL,667,16628,CC_ALLOC_V1 method=PAYMENT_SINGLE_EXACT_V1 cc_payment_txn_id=465 cc_purchase_txn_id=467,2026-01-21 17:59:31
127,450,WAVE_BILL,666,68218,CC_ALLOC_V1 method=PAYMENT_SINGLE_EXACT_V1 cc_payment_txn_id=466 cc_purchase_txn_id=468,2026-01-21 17:59:31
128,444,WAVE_BILL,658,2068,CC_ALLOC_V1 method=PAYMENT_SINGLE_EXACT_V1 cc_payment_txn_id=469 cc_purchase_txn_id=478,2026-01-21 17:59:31
129,443,WAVE_BILL,659,1264,CC_ALLOC_V1 method=PAYMENT_SINGLE_EXACT_V1 cc_payment_txn_id=470 cc_purchase_txn_id=481,2026-01-21 17:59:31
130,446,WAVE_BILL,663,3449,CC_ALLOC_V1 method=PAYMENT_SINGLE_EXACT_V1 cc_payment_txn_id=472 cc_purchase_txn_id=474,2026-01-21 17:59:31
131,429,WAVE_BILL,673,9302,CC_ALLOC_V1 method=PAYMENT_SINGLE_EXACT_V1 cc_payment_txn_id=449 cc_purchase_txn_id=457,2026-01-21 17:59:31
